category,amt,gender,street,city,state,zip,city_pop,job,age,day_of_week,transaction_min,transaction_hour,transaction_date,transaction_month,transaction_distance,is_fraud
Grocery Pos,333.83,Female,6881 King Isle Suite 228,Higganum,Connecticut,6441,5438,"Librarian, academic",55,Friday,20,8,5,7,101.3618456519358,1
Shopping Net,948.93,Male,5097 Martin Ridges,Minneapolis,Minnesota,55403,1022298,Chemical engineer,43,Saturday,54,22,20,4,56.02390369791335,1
Shopping Pos,834.24,Female,08236 Kim Hill,Indianapolis,Indiana,46254,910148,Firefighter,44,Thursday,36,0,26,12,66.47789743175639,1
Home,261.42,Female,07943 Davis River,Grimesland,North Carolina,27837,5903,Manufacturing systems engineer,27,Thursday,37,23,19,3,123.41124511638426,1
Gas Transport,10.59,Male,03512 Jackson Ports,Reno,Nevada,89512,276896,Immunologist,22,Monday,52,0,25,11,96.28933103198409,1
Shopping Net,747.72,Male,08966 Beltran Route Suite 905,Oaks,Pennsylvania,19456,737,Oceanographer,33,Monday,17,22,23,3,83.20631571692691,1
Shopping Net,1065.56,Male,575 Chapman Union,Spring,Texas,77379,316665,"Education officer, museum",30,Friday,37,22,21,2,107.61760204449799,1
Shopping Pos,961.7,Female,78117 George Mountains,Paauilo,Hawaii,96776,1490,"Scientist, research (maths)",28,Monday,28,3,23,12,68.33655569622064,1
Health Fitness,22.75,Female,4529 Cannon Alley,Center Point,West Virginia,26339,255,Chief Executive Officer,48,Friday,35,23,6,12,90.56769349310859,1
Grocery Net,12.81,Female,6881 King Isle Suite 228,Higganum,Connecticut,6441,5438,"Librarian, academic",55,Saturday,36,0,6,7,83.41063129402802,1
Food Dining,134.66,Female,10376 Bullock Rapid,Queen Anne,Maryland,21657,777,Television production assistant,23,Monday,55,22,8,6,123.50913973508153,1
Shopping Net,1009.3,Female,90662 Lewis Avenue,Providence,Rhode Island,2908,203571,"Nurse, children's",24,Friday,11,17,11,10,43.241322830935076,1
Shopping Net,798.62,Female,916 Charles Road,Bowersville,Ohio,45307,338,Quantity surveyor,32,Thursday,19,2,16,4,48.894249185152546,1
Kids Pets,7.27,Male,463 Willie Estates,Burbank,Oklahoma,74633,471,Sub,78,Saturday,4,22,28,12,102.94300864439711,1
Grocery Pos,254.94,Male,4257 Perez Mall,Canton,Ohio,44702,192805,Building control surveyor,56,Thursday,13,0,12,9,79.83492371889078,1
Misc Net,890.98,Male,7911 Campbell Crossing Apt. 725,Stoneham,Massachusetts,2180,21437,Artist,56,Sunday,2,23,14,6,93.86454709144819,1
Health Fitness,24.45,Female,53142 Katrina Roads Suite 889,Monitor,Washington,98836,584,Medical technical officer,50,Sunday,52,21,1,9,94.44993403573748,1
Kids Pets,22.52,Female,7529 Carter Well Suite 262,Huntington Beach,California,92648,190249,"Therapist, horticultural",43,Friday,43,22,27,12,98.75332445995683,1
Shopping Net,992.15,Female,26572 Hodge Villages Suite 512,Mifflin,Pennsylvania,17058,1909,Mining engineer,65,Thursday,13,22,11,7,82.58400010806109,1
Shopping Net,1096.36,Male,1198 Robert Stravenue Apt. 479,Armonk,New York,10504,7987,Television/film/video producer,55,Friday,27,23,18,10,91.61548673604933,1
Misc Net,811.54,Male,86882 Desiree Camp Suite 047,Tyaskin,Maryland,21865,470,Music tutor,54,Monday,15,20,11,3,22.387619689111013,1
Shopping Net,774.11,Male,3426 David Divide Suite 717,Burns Flat,Oklahoma,73624,2142,Politician's assistant,43,Wednesday,27,23,17,4,63.24381322984437,1
Gas Transport,20.29,Female,35440 Ryan Islands,North Prairie,Wisconsin,53153,2328,Applications developer,77,Sunday,9,1,22,12,66.68129666241042,1
Shopping Pos,740.2,Female,6963 Russell Causeway Suite 231,Galatia,Illinois,62935,1943,"Restaurant manager, fast food",48,Sunday,4,3,27,1,61.595809495842495,1
Grocery Pos,317.85,Female,24607 Charles Mountains,Fenelton,Pennsylvania,16034,2054,Operations geologist,57,Friday,51,1,20,3,38.51279293356165,1
Personal Care,18.08,Female,174 Jennifer Meadow Apt. 467,Mountain Park,Oklahoma,73559,540,Research scientist (life sciences),36,Tuesday,5,22,29,1,120.02743120919568,1
Shopping Pos,779.55,Female,974 Cindy Stream,Brandon,Vermont,5733,5895,"Scientist, marine",44,Monday,47,3,26,8,90.85071540976763,1
Misc Pos,718.09,Female,6778 Campos Field,Bonfield,Illinois,60913,1617,Medical secretary,29,Saturday,55,3,22,6,74.17208184779084,1
Home,247.96,Female,89297 Wilson Green Suite 601,Moscow,Iowa,52760,533,Chief Technology Officer,30,Thursday,11,23,27,2,53.11624155427698,1
Misc Pos,7.74,Female,03090 Fisher Forges Apt. 200,Wichita,Kansas,67216,409656,Textile designer,89,Saturday,15,22,9,11,75.8827622520297,1
Shopping Net,938.98,Female,024 Williams Parkway,Las Vegas,Nevada,89109,1417793,Senior tax professional/tax inspector,74,Sunday,25,23,29,3,127.7743627601209,1
Misc Net,783.22,Male,5452 Patricia Inlet Apt. 280,Nelson,Nebraska,68961,732,Television/film/video producer,63,Saturday,57,22,12,10,114.18301549326263,1
Shopping Pos,874.83,Female,4900 Curtis Gardens Suite 952,Hahira,Georgia,31632,10295,"Teacher, special educational needs",22,Saturday,5,22,30,3,92.96824469840273,1
Home,255.76,Female,916 Charles Road,Bowersville,Ohio,45307,338,Quantity surveyor,32,Wednesday,10,23,15,4,88.67519840853102,1
Gas Transport,8.73,Male,95351 Sullivan Viaduct Apt. 239,Port Charlotte,Florida,33981,79008,Quantity surveyor,35,Tuesday,45,3,16,4,97.56307673085276,1
Shopping Net,976.26,Female,653 Jessica Extension Apt. 668,Clifton,South Carolina,29324,167,Museum/gallery conservator,32,Sunday,17,1,8,3,112.48744057261717,1
Gas Transport,13.62,Male,198 Candace Plaza,Diamond,Ohio,44412,2644,Air cabin crew,38,Saturday,50,2,12,10,66.36054289000042,1
Shopping Pos,852.69,Male,7911 Campbell Crossing Apt. 725,Stoneham,Massachusetts,2180,21437,Artist,56,Monday,18,22,15,6,113.95483941082827,1
Misc Net,849.25,Male,4177 Rosales Summit Apt. 973,Nicholson,Pennsylvania,18446,3733,Trading standards officer,57,Monday,5,23,11,5,43.114403443902184,1
Grocery Pos,262.04,Female,06393 Nancy Parkways Suite 855,Gadsden,Alabama,35903,67082,Ceramics designer,49,Thursday,36,3,2,5,99.36800150336254,1
Grocery Pos,331.37,Female,194 Goodman Fall Apt. 569,Burlington,Washington,98233,14871,Public house manager,46,Tuesday,57,3,16,6,70.04725321958763,1
Home,233.7,Female,28812 Charles Mill Apt. 628,Plantersville,Alabama,36758,1412,Drilling engineer,50,Sunday,58,22,5,1,114.40461158671398,1
Home,221.76,Female,89297 Wilson Green Suite 601,Moscow,Iowa,52760,533,Chief Technology Officer,30,Friday,56,23,28,2,70.33237311303641,1
Misc Net,790.1,Male,26975 Richardson Mills Apt. 402,Sontag,Mississippi,39665,1196,"Librarian, academic",61,Saturday,2,22,25,5,46.94447906642356,1
Shopping Net,951.66,Male,1471 Alicia Flat Apt. 993,Springfield Gardens,New York,11413,38912,Production manager,58,Thursday,41,14,31,10,74.56125097846285,1
Gas Transport,9.59,Male,03512 Jackson Ports,Reno,Nevada,89512,276896,Immunologist,22,Monday,54,1,25,11,40.29819790999448,1
Gas Transport,11.39,Male,766 Potter Well,West Chazy,New York,12992,4778,Engineering geologist,65,Wednesday,38,6,20,3,78.91272195830493,1
Shopping Net,1080.13,Male,5036 Victoria Ports Suite 249,Emporium,Pennsylvania,15834,4533,Public affairs consultant,50,Thursday,57,20,11,7,125.15451389487411,1
Shopping Net,921.68,Female,57256 Raymond Ports,Knoxville,Tennessee,37932,391389,"Designer, industrial/product",25,Wednesday,12,3,20,3,50.93550777146036,1
Shopping Net,1036.05,Male,8850 Jessica Center,Atlantic,Virginia,23303,741,"Geologist, engineering",33,Thursday,27,22,12,12,70.65140495960787,1
Shopping Net,981.32,Male,93121 Zavala Extensions,Madisonville,Louisiana,70447,10150,Commercial horticulturist,76,Saturday,9,23,2,2,105.0730881896534,1
Health Fitness,18.83,Female,982 Melissa Lock,Bagley,Wisconsin,53801,878,Risk analyst,45,Sunday,57,23,24,2,122.0399783796439,1
Shopping Net,1065.43,Male,5812 Ramos Oval Suite 598,Ravenna,Nebraska,68869,2202,"Solicitor, Scotland",45,Sunday,57,23,13,1,98.33798300693438,1
Shopping Net,1116.11,Male,401 Escobar Port,East Troy,Wisconsin,53120,9679,"Engineer, production",28,Tuesday,31,14,2,7,115.18675128314291,1
Grocery Pos,284.05,Male,542 Howe Mission Apt. 092,Port Richey,Florida,34668,42619,Environmental education officer,44,Friday,3,1,20,9,91.76941942218136,1
Shopping Net,962.86,Male,997 Cameron Meadow Apt. 980,South Hero,Vermont,5486,1654,Transport planner,29,Wednesday,14,22,3,6,66.18901710667494,1
Shopping Net,835.94,Female,7535 Amanda Manors Suite 293,Norman,Arkansas,71960,1383,Manufacturing engineer,20,Sunday,27,22,7,7,102.92273504751131,1
Gas Transport,7.81,Male,8738 Richard Brooks,Moab,Utah,84532,9772,Location manager,30,Friday,46,2,17,5,93.4612342582488,1
Food Dining,107.33,Female,55363 Aaron Circle Suite 450,Lawn,Pennsylvania,17041,213,Special educational needs teacher,47,Wednesday,6,22,5,6,42.77407325502073,1
Gas Transport,8.97,Female,02110 Lucas Freeway Suite 517,Battle Creek,Iowa,51006,1075,"Teacher, early years/pre",22,Tuesday,1,2,26,2,80.63600738768021,1
Kids Pets,21.36,Female,3789 Mark Walks,Sunflower,Mississippi,38778,1686,"Education officer, community",33,Saturday,37,22,28,9,81.67818940974283,1
Misc Net,796.91,Female,78117 George Mountains,Paauilo,Hawaii,96776,1490,"Scientist, research (maths)",28,Sunday,32,3,22,12,46.49847690142535,1
Shopping Net,1049.12,Male,5939 Garcia Forges Suite 297,San Antonio,Texas,78214,1595797,Land,24,Thursday,33,22,17,10,113.9791833106117,1
Shopping Net,1043.2,Female,13299 Patrick Terrace,Rhame,North Dakota,58651,475,Illustrator,64,Sunday,54,23,20,1,78.59512874084807,1
Misc Net,791.96,Male,4005 Dana Glens,Methuen,Massachusetts,1844,47249,Market researcher,40,Monday,8,3,4,5,70.3229795702817,1
Personal Care,20.19,Male,25713 Hamilton Grove Apt. 903,Beaverdam,Ohio,45808,349,Museum/gallery conservator,41,Monday,59,22,2,12,76.54215934528088,1
Shopping Pos,1124.86,Female,147 Mckinney Run Apt. 743,Ehrhardt,South Carolina,29081,1352,"Engineer, materials",27,Friday,7,18,28,6,92.14463780522694,1
Grocery Pos,302.1,Male,362 Brown Wall,Kaktovik,Alaska,99747,239,Careers information officer,23,Friday,33,0,22,3,46.7060555462585,1
Home,281.8,Female,330 Montoya Ramp,Washington,District of Columbia,20036,601723,Prison officer,33,Thursday,15,23,31,1,53.80702286197317,1
Misc Net,924.45,Male,748 Bryan Fields Suite 935,Riverton,Wyoming,82501,19408,"Lecturer, higher education",26,Wednesday,1,1,29,5,44.95965611947959,1
Shopping Net,1013.23,Female,8030 Walker Heights,Belle Fourche,South Dakota,57717,8007,Hospital pharmacist,79,Sunday,48,23,28,7,75.52084395033887,1
Shopping Net,832.39,Female,3872 Matthew Skyway,Paris,Mississippi,38949,297,"Administrator, local government",58,Friday,40,21,14,6,42.11973144739069,1
Misc Pos,8.74,Female,486 Wilkins Pines,Lithopolis,Ohio,43136,460,"Lecturer, higher education",15,Thursday,59,22,12,12,41.11928175879444,1
Shopping Pos,881.14,Female,20788 Johnson Crest,Wartburg,Tennessee,37887,7511,Further education lecturer,77,Saturday,58,19,2,5,101.27216201713289,1
Misc Net,788.22,Female,95017 Kevin Expressway,North East,Pennsylvania,16428,12478,Hydrologist,21,Saturday,31,2,21,12,49.53932968336188,1
Misc Net,850.47,Female,40624 Rebecca Spurs,De Witt,Arkansas,72042,5161,Electrical engineer,26,Monday,18,1,20,5,111.99187824692957,1
Shopping Pos,932.45,Female,589 Matthew Brooks,Houston,Texas,77026,2906700,Animator,37,Tuesday,15,2,7,4,63.225575074028505,1
Gas Transport,21.2,Female,91644 Crystal Drives,Eagarville,Illinois,62023,91,Materials engineer,57,Monday,34,2,22,7,34.83060123353884,1
Gas Transport,7.33,Male,0110 Ashley Forest,Tekoa,Washington,99033,895,Clothing/textile technologist,20,Saturday,52,3,10,8,47.269813266457774,1
Grocery Pos,274.06,Female,90662 Lewis Avenue,Providence,Rhode Island,2908,203571,"Nurse, children's",24,Thursday,12,1,10,10,96.17303647040903,1
Misc Net,862.65,Male,8510 Acevedo Burgs,Kent,Oregon,97033,60,Museum education officer,77,Friday,13,14,13,9,50.90727285828263,1
Misc Net,743.22,Male,371 Anthony Trail Suite 354,Glade Spring,Virginia,24340,5657,Clinical psychologist,33,Monday,50,1,8,6,87.91109947564895,1
Personal Care,51.5,Female,23220 Eaton Harbors,Kirby,Ohio,43330,118,Private music teacher,62,Sunday,56,23,22,12,26.50422048556715,1
Shopping Pos,734.72,Female,54220 April Union Suite 403,Riverview,Michigan,48193,15623,Writer,27,Sunday,19,3,10,5,130.30182967928698,1
Shopping Pos,705.84,Female,376 Brown Courts,Yellowstone National Park,Wyoming,82190,369,Materials engineer,78,Sunday,48,14,6,10,33.41820498428601,1
Shopping Net,1095.97,Male,550 Cunningham Squares,Dadeville,Alabama,36853,8269,Minerals surveyor,43,Wednesday,15,23,13,5,79.93996118913138,1
Entertainment,544.79,Female,916 Charles Road,Bowersville,Ohio,45307,338,Quantity surveyor,32,Wednesday,53,22,15,4,62.34149417578385,1
Grocery Pos,307.1,Female,9486 Joel Common Suite 554,Topeka,Kansas,66618,163415,Secondary school teacher,16,Wednesday,18,3,18,3,82.7844122477334,1
Gas Transport,19.03,Male,43809 Kenneth Circles Suite 152,Union,West Virginia,24983,2443,Chartered public finance accountant,78,Wednesday,59,1,4,12,77.58376010979346,1
Kids Pets,6.76,Female,477 Alejandro Knolls Suite 828,Gardiner,Oregon,97441,260,"Engineer, maintenance",64,Friday,3,12,14,2,84.51164443511021,1
Grocery Pos,317.05,Male,62931 Ralph Court,Lakeland,Florida,33813,237282,"Radiographer, therapeutic",58,Sunday,18,8,18,8,55.49670778951255,1
Shopping Net,1100.47,Male,39227 Mcpherson Shoals,Lahoma,Oklahoma,73754,1078,Podiatrist,30,Tuesday,59,22,29,10,77.92866499250869,1
Health Fitness,20.55,Female,979 Stewart Lake,New Ellenton,South Carolina,29809,2206,Biomedical scientist,33,Sunday,15,16,11,8,92.83913925228906,1
Shopping Net,935.43,Male,826 Benjamin Stravenue,Alexandria,Virginia,22311,321490,"Scientist, biomedical",29,Thursday,42,22,21,5,125.91971065002633,1
Grocery Pos,312.01,Male,252 Melissa Rapids Suite 944,Monetta,South Carolina,29105,1514,Chief Strategy Officer,54,Saturday,44,22,25,4,1.6846825722913006,1
Misc Net,576.1,Male,5155 Mary Common Apt. 927,Utica,Pennsylvania,16362,1102,Garment/textile technologist,30,Friday,16,23,12,7,98.43450275674319,1
Grocery Pos,336.91,Male,995 Benjamin Bypass,Du Pont,Georgia,31630,419,Advertising account executive,29,Tuesday,42,23,24,12,87.61631248055004,1
Gas Transport,10.79,Female,561 Little Plain Apt. 738,Wetmore,Michigan,49895,765,Immunologist,47,Sunday,10,0,12,5,80.92040227246018,1
Misc Net,737.99,Male,980 Smith Gardens,Gainesville,Texas,76240,26120,"Engineer, manufacturing",66,Friday,42,22,3,1,68.6450687395451,1
Grocery Pos,302.16,Male,901 Ariel Points,Jefferson,New York,12093,1666,Diagnostic radiographer,51,Monday,39,3,8,4,39.05049097592398,1
Health Fitness,22.85,Female,1984 Taylor Island Suite 836,Falls Church,Virginia,22046,116155,Chartered accountant,36,Friday,57,22,22,2,45.365947536394614,1
Misc Net,796.78,Male,212 Mary Stream,Arcadia,Michigan,49613,680,"Designer, jewellery",53,Friday,56,21,8,11,126.74840086919876,1
Shopping Net,1005.42,Female,659 Nicole Cove Suite 560,New Waverly,Texas,77358,4993,"Scientist, biomedical",71,Monday,18,22,30,9,86.25287847280033,1
Shopping Net,1073.49,Female,4349 Anna Flat Suite 214,Haynes,Arkansas,72341,222,"Programmer, applications",56,Sunday,24,23,3,11,72.61651895220027,1
Gas Transport,17.64,Female,1980 Vasquez Manors Apt. 574,Catawba,Virginia,24070,1363,Equality and diversity officer,79,Saturday,3,0,17,8,50.67244438800958,1
Gas Transport,9.63,Male,8738 Richard Brooks,Moab,Utah,84532,9772,Location manager,30,Saturday,56,1,18,5,71.73741916518054,1
Shopping Net,1021.53,Female,02110 Lucas Freeway Suite 517,Battle Creek,Iowa,51006,1075,"Teacher, early years/pre",22,Monday,10,18,25,2,32.39451919068699,1
Misc Net,801.35,Male,3283 James Station,Fayetteville,North Carolina,28314,238602,"Scientist, research (maths)",26,Monday,14,3,14,1,125.22380176592101,1
Misc Net,816.43,Female,195 Murray Overpass Apt. 384,Winter,Wisconsin,54896,1478,Neurosurgeon,54,Thursday,45,22,4,4,36.150335422153525,1
Shopping Pos,782.81,Female,13108 Jennifer Passage,Mc Cracken,Kansas,67556,320,Film/video editor,59,Friday,50,22,19,6,52.170001886990356,1
Misc Net,844.6,Female,144 Yu Locks Apt. 754,Garrattsville,New York,13342,165,Naval architect,74,Sunday,37,23,18,8,62.01135285184253,1
Personal Care,20.56,Female,474 Allen Haven,North Loup,Nebraska,68859,509,"Nurse, children's",40,Tuesday,35,23,14,4,78.49466503167451,1
Gas Transport,9.47,Male,16220 Joseph Point Suite 096,Mountain City,Tennessee,37683,13021,Tree surgeon,18,Wednesday,7,2,3,4,78.87333034312334,1
Entertainment,454.93,Male,30587 Fox Shores Apt. 627,Fenelton,Pennsylvania,16034,2054,Communications engineer,44,Wednesday,15,19,27,5,94.90593666092305,1
Shopping Pos,986.7,Female,44197 Jeffrey Port Suite 050,Bridgeport,New Jersey,8014,504,"Engineer, control and instrumentation",40,Tuesday,15,23,19,5,116.76786011188304,1
Shopping Net,942.75,Male,821 Solis Points,Muskegon,Michigan,49440,128715,Historic buildings inspector/conservation officer,24,Thursday,7,23,5,12,104.04059336232845,1
Shopping Pos,706.66,Female,2924 Bobby Trafficway,Sebring,Florida,33872,50835,Environmental consultant,33,Wednesday,39,2,23,1,56.60486068584295,1
Shopping Pos,884.75,Male,44417 Williams Manors,Angwin,California,94508,3661,Human resources officer,50,Sunday,31,23,10,5,104.34058904327988,1
Shopping Net,881.29,Female,91644 Crystal Drives,Eagarville,Illinois,62023,91,Materials engineer,57,Tuesday,17,22,23,7,48.312011736598734,1
Shopping Net,1170.83,Female,4900 Curtis Gardens Suite 952,Hahira,Georgia,31632,10295,"Teacher, special educational needs",22,Sunday,22,17,31,3,88.48953738060854,1
Grocery Pos,309.99,Male,0189 Emily Prairie,Wichita,Kansas,67232,409656,Heritage manager,35,Friday,43,2,7,2,58.36759344034608,1
Misc Pos,7.92,Male,9670 Monroe Junctions,Rockwood,Pennsylvania,15557,3684,General practice doctor,43,Monday,20,12,14,10,55.00239872381707,1
Grocery Pos,351.11,Male,754 Smith Isle,Amsterdam,Ohio,43903,2208,Mental health nurse,58,Saturday,30,22,29,6,91.9901448808435,1
Misc Pos,832.31,Female,8969 Fuentes Station Apt. 291,Mill Creek,Pennsylvania,17060,1334,Archaeologist,34,Tuesday,47,2,28,4,107.05110934565506,1
Misc Net,750.57,Female,250 Carrie Throughway,University,Mississippi,38677,4198,Curator,18,Wednesday,2,2,15,5,22.085230286900938,1
Shopping Net,880.19,Male,1250 Christopher Prairie Suite 016,Port Costa,California,94569,198,Armed forces training and education officer,60,Friday,29,13,8,2,74.58101584725628,1
Personal Care,48.8,Male,42965 Christopher Fords Suite 659,Norman,Arkansas,71960,1383,Magazine features editor,54,Tuesday,0,23,31,3,21.0395060436788,1
Grocery Pos,288.76,Male,5155 Mary Common Apt. 927,Utica,Pennsylvania,16362,1102,Garment/textile technologist,30,Saturday,11,12,13,7,87.02361432901857,1
Misc Net,815.9,Male,8206 Harris Extensions Apt. 996,Wilmington,North Carolina,28412,186140,"Accountant, chartered certified",54,Thursday,48,23,30,1,64.20049429607826,1
Shopping Net,956.44,Female,9471 Wong Islands,Mansfield,Ohio,44902,92985,Press photographer,51,Friday,58,23,15,11,92.4398281055975,1
Grocery Pos,342.9,Female,180 Graves Shore,Scotia,South Carolina,29939,302,Magazine features editor,46,Friday,27,1,8,3,107.98121385997796,1
Grocery Pos,313.72,Male,0110 Ashley Forest,Tekoa,Washington,99033,895,Clothing/textile technologist,20,Sunday,8,0,11,8,62.287314319555215,1
Shopping Net,827.2,Male,133 Alyssa Plains,Lolita,Texas,77971,911,Archaeologist,49,Sunday,15,22,22,9,131.87673890480707,1
Shopping Net,969.63,Female,0925 Lang Extensions,Shields,North Dakota,58569,77,Film/video editor,30,Sunday,38,2,3,2,74.00014254872391,1
Grocery Pos,308.55,Male,252 Melissa Rapids Suite 944,Monetta,South Carolina,29105,1514,Chief Strategy Officer,54,Friday,22,0,24,4,143.63626056506334,1
Health Fitness,21.55,Female,889 Sarah Station Suite 624,Holcomb,Kansas,67851,2691,Arboriculturist,26,Thursday,4,17,28,2,104.87562719326935,1
Health Fitness,18.2,Female,543 Ware Path Apt. 593,Utica,Missouri,64686,271,Land/geomatics surveyor,47,Monday,0,23,25,3,88.4186632167066,1
Misc Net,763.71,Female,0537 Margaret Common Suite 526,Coleman,Texas,76834,5908,Radio producer,58,Saturday,3,22,16,5,45.55810450878821,1
Shopping Pos,1132.52,Female,07712 Marcus Divide Apt. 831,Laguna Hills,California,92637,45303,Sales executive,51,Sunday,26,23,12,1,9.429800952094938,1
Kids Pets,19.44,Female,3160 Tina Estates Suite 234,Marietta,South Carolina,29661,5648,Museum/gallery exhibitions officer,86,Tuesday,0,22,24,3,85.1155087856094,1
Misc Net,719.3,Male,4923 Campbell Pines Suite 717,Carlisle,Indiana,47838,4081,Energy engineer,81,Monday,24,23,19,8,69.9188806953644,1
Shopping Net,1197.66,Male,838 Franklin Prairie Apt. 902,Key West,Florida,33040,32891,Town planner,33,Thursday,4,23,20,2,90.26825341586228,1
Gas Transport,9.46,Male,025 White Fork Apt. 633,Rock Glen,Pennsylvania,18246,143,Health and safety adviser,37,Tuesday,12,3,13,8,102.27536385510956,1
Personal Care,19.89,Female,976 Hubbard Lodge,Randolph,Minnesota,55065,1201,Barrister,40,Saturday,59,23,21,12,117.31264068256912,1
Shopping Net,850.7,Male,2851 Foster Shoals,Schaefferstown,Pennsylvania,17088,823,Gaffer,37,Monday,0,23,12,8,36.76218155613032,1
Grocery Pos,325.04,Female,5204 Robinson Plaza Suite 897,Barnstable,Massachusetts,2630,1850,Counselling psychologist,56,Tuesday,38,4,12,11,61.19882639057452,1
Misc Net,828.47,Female,154 Hernandez Keys,Smith River,California,95567,1930,Web designer,36,Wednesday,26,2,22,5,77.04429361184759,1
Shopping Net,921.24,Female,6911 Nicholas Keys Apt. 237,Armagh,Pennsylvania,15920,922,Early years teacher,47,Thursday,44,0,31,1,80.84372749288931,1
Shopping Net,898.73,Male,2056 Michael Wells Apt. 348,Prairie Creek,Indiana,47869,137,Materials engineer,53,Tuesday,40,22,17,3,82.01295479820992,1
Misc Net,781.3,Male,7377 Walton Extensions Apt. 979,Dallas,Texas,75236,1263321,"Designer, interior/spatial",67,Sunday,10,23,27,10,71.9555329147391,1
Grocery Pos,334.89,Male,50614 Kevin Point,Harper,Texas,78631,2395,"Pharmacist, community",26,Thursday,20,0,21,11,77.70984878600943,1
Grocery Pos,325.31,Male,8840 Miller Port Suite 645,Indian Wells,California,92210,4677,Learning mentor,65,Sunday,57,2,3,5,72.81516708173748,1
Travel,8.94,Male,5036 Victoria Ports Suite 249,Emporium,Pennsylvania,15834,4533,Public affairs consultant,50,Wednesday,41,23,10,7,88.40246628904406,1
Gas Transport,6.26,Female,4511 Choi Lock,Delhi,Louisiana,71232,6581,Multimedia programmer,56,Sunday,2,3,9,2,40.09167770407337,1
Food Dining,108.12,Male,4005 Dana Glens,Methuen,Massachusetts,1844,47249,Market researcher,40,Monday,3,23,4,5,75.33279293487105,1
Shopping Net,1021.5,Female,16104 Diane Walk Suite 352,Wappapello,Missouri,63966,2601,Research scientist (medical),62,Monday,47,22,28,10,115.22990509773788,1
Shopping Pos,746.76,Female,2924 Bobby Trafficway,Sebring,Florida,33872,50835,Environmental consultant,33,Tuesday,12,2,22,1,96.00413802059339,1
Grocery Pos,279.83,Female,9471 Wong Islands,Mansfield,Ohio,44902,92985,Press photographer,51,Friday,39,4,15,11,39.19173649442355,1
Grocery Pos,295.16,Female,755 Moses Harbor,Coulee Dam,Washington,99116,1439,"Pilot, airline",20,Sunday,50,1,24,3,56.67193487252767,1
Shopping Net,1048.8,Male,782 Lee Crossing Apt. 209,Weeping Water,Nebraska,68463,1517,Dealer,69,Wednesday,17,23,19,2,111.98975827264627,1
Grocery Pos,324.94,Female,63991 Destiny Rue Apt. 651,Tyler,Texas,75703,144160,Sports development officer,35,Tuesday,53,3,18,6,57.06618683934015,1
Shopping Pos,931.33,Female,754 Elliott Creek,Huntsville,Alabama,35896,190178,Tree surgeon,90,Wednesday,18,23,29,4,103.1504355507382,1
Misc Net,783.49,Female,2076 Thomas Roads Suite 970,Cassatt,South Carolina,29032,4424,Lawyer,58,Saturday,43,23,7,9,47.722967206157364,1
Personal Care,18.46,Female,329 Emily Cape,Cape Coral,Florida,33909,156391,Higher education careers adviser,52,Wednesday,42,17,8,1,92.56406597619927,1
Misc Net,704.16,Female,755 Gardner Heights Apt. 420,Paxton,Massachusetts,1612,4845,Accounting technician,93,Tuesday,49,23,21,5,123.09900749821935,1
Misc Pos,7.01,Female,865 Thomas Village,Orangeburg,New York,10962,5950,Records manager,48,Sunday,18,3,20,1,58.45078397148509,1
Food Dining,98.7,Female,47029 Jimmy Tunnel Apt. 106,Newhall,California,91321,34882,Health physicist,48,Monday,53,0,1,4,66.22323135527212,1
Shopping Pos,1013.79,Female,835 Reese Views Suite 884,Hopkins,South Carolina,29061,13717,Chiropodist,71,Saturday,29,22,1,2,96.2847588207497,1
Grocery Pos,309.58,Male,39218 Baker Shoals,Bristow,Indiana,47515,965,Horticultural therapist,38,Tuesday,24,23,17,3,86.78669825125051,1
Shopping Net,1189.69,Male,06539 Gregory Mountains Suite 029,Parker Dam,California,92267,126,Marketing executive,27,Sunday,53,22,27,1,13.582564268502088,1
Gas Transport,6.23,Male,48635 Paul Hills,Gaines,Michigan,48436,3764,Veterinary surgeon,53,Friday,4,3,22,2,27.52742925683635,1
Shopping Net,941.21,Male,0611 Stafford Valley Suite 504,Naples,Florida,34112,276002,"Programme researcher, broadcasting/film/video",40,Sunday,26,23,23,6,58.866586177383766,1
Grocery Pos,350.44,Male,7233 John Parks,Lepanto,Arkansas,72354,2470,Counselling psychologist,51,Sunday,9,23,28,7,108.78423098475095,1
Grocery Pos,315.96,Male,368 Rollins Fort Apt. 076,Aurora,Colorado,80019,389246,Industrial/product designer,81,Tuesday,43,1,26,3,49.730655403655575,1
Shopping Pos,814.54,Male,646 Louis Fort Apt. 665,North Las Vegas,Nevada,89084,214518,Catering manager,59,Tuesday,6,14,31,12,84.34562719525707,1
Grocery Pos,335.19,Female,376 John Fork Suite 848,Randolph,Ohio,44265,51,Mechanical engineer,59,Friday,52,2,21,6,40.83399338530054,1
Shopping Net,860.8,Male,651 Miller Common,Parsonsfield,Maine,4047,1892,Audiological scientist,63,Tuesday,36,22,15,1,91.26206090792782,1
Shopping Net,970.33,Male,93121 Zavala Extensions,Madisonville,Louisiana,70447,10150,Commercial horticulturist,76,Sunday,26,20,3,2,109.12558304549364,1
Travel,10.47,Female,72966 Shannon Pass Apt. 391,Bauxite,Arkansas,72011,4074,"Scientist, audiological",44,Monday,45,23,26,8,54.878536674708364,1
